Index;NDVI;elevation;maximum_temperature;minimum_temperature;precipitation;relative_humidity
205;0.40272965174281294;406;33.61089;22.975605;3.2480996;56.85323
206;0.3527827983389199;230;34.762768;23.823616;2.9952462;50.100452
207;0.38585725173635554;221;36.03729;24.730158;2.451909;43.12799
208;0.42370550034883503;170;35.662636;24.589638;2.5763195;46.319786
209;0.32650011464658857;207;35.226612;24.306065;2.8295586;47.327065
210;0.36028108229836975;198;35.37947;24.276045;2.6267493;47.523544
211;0.34872186459213295;182;35.249416;24.334696;2.6209693;48.95207
212;0.3670153566287329;162;35.49096;24.410364;2.5863273;47.31104
213;0.33383315026409494;251;35.707603;24.499386;2.695791;44.53472
214;0.334095461081882;311;35.4698;24.49747;2.7218764;45.166386
215;0.4229976508995162;414;33.51854;22.965181;3.1586876;56.78594
216;0.36672806909012173;152;34.97433;24.099733;2.765301;50.39112
217;0.371582898878652;208;34.669243;23.791006;2.905779;51.529232
218;0.3049621424846011;177;34.92754;24.112114;2.7118416;50.534943
219;0.34359062572283106;176;35.42014;24.322676;2.629236;47.18079
220;0.334047171772627;317;35.433704;24.574348;2.762176;45.653786
221;0.5833807256922323;386;32.856556;22.556913;3.4173136;61.29411
222;0.31588592369153135;188;35.247078;24.152626;2.6460793;48.146317
223;0.3296377040770425;223;35.258488;24.253574;2.790153;47.24192
224;0.4331368967479725;371;33.59554;23.007353;3.234906;57.410492
225;0.44719147937788845;232;34.724464;23.951065;2.9570909;49.268017
226;0.43101837655253633;362;33.582096;23.02128;3.2555099;57.586926
227;0.4229976508995162;414;33.51854;22.965181;3.1586876;56.78594
228;0.35031253446722216;223;36.18646;24.766926;2.1564765;42.709087
229;0.39127146589781087;165;35.615112;24.540268;2.5671167;46.4964
230;0.33480751300112305;227;35.137653;24.048319;2.7393692;48.174614
231;0.3977793408867331;386;33.61089;22.975605;3.2480996;56.85323
232;0.5821894108098314;386;32.856556;22.556913;3.4173136;61.29411
233;0.29981232030688826;177;35.563595;24.471148;2.584124;46.745373
234;0.3221249279771118;175;35.307602;24.226997;2.659699;48.212826
235;0.3852340405601321;194;34.438843;23.73593;2.9999952;52.180344
236;0.3328774712019312;177;35.50572;24.435219;2.666029;46.600628
237;0.39585366552236334;179;35.19072;24.09023;2.6771219;48.36832
238;0.3824678135066445;218;34.46319;23.699097;3.0793371;51.812523
239;0.3404534487636603;317;35.072475;24.413013;2.9841907;47.4139
240;0.3361116505808496;204;36.59455;25.011816;1.9622902;41.339478
241;0.39837012357289253;166;35.61788;24.54255;2.5426753;46.54874
242;0.3539432890983579;214;34.879772;23.86908;2.9127083;50.522743
243;0.5802000513220472;49;32.665115;24.732353;3.061726;72.33939
244;0.3226040298276811;228;35.06614;23.985813;2.7866616;49.07459
245;0.3946399899142671;188;35.424744;24.446999;2.7513587;46.535057
246;0.3710299407165149;173;35.46956;24.380972;2.6674476;46.962906
247;0.33550670155690476;200;36.167812;24.829313;2.2786798;42.900654
248;0.2873162706364787;166;35.331486;24.24982;2.6355853;48.000343
249;0.4407201723121635;408;33.51854;22.965181;3.1586876;56.78594
250;0.362479072493575;168;35.615112;24.540268;2.5671167;46.4964
251;0.36894274990742415;239;35.775818;24.653307;2.507849;43.800793
252;0.3221249279771118;175;35.307602;24.226997;2.659699;48.212826
253;0.42916333609865287;244;35.69494;24.514738;2.6996698;44.462734
254;0.4635086422490797;202;35.19232;24.298426;2.848718;47.602394
255;0.3909149343256358;173;35.572075;24.483177;2.5989766;46.629944
256;0.3755645866717923;279;35.71353;24.528252;2.6738105;44.23724
257;0.3625143173188595;238;36.04483;24.703455;2.4468458;43.347435
258;0.3626842827158853;174;35.46956;24.380972;2.6674476;46.962906
259;0.44719147937788845;232;34.724464;23.951065;2.9570909;49.268017
260;0.3956050733167314;302;35.392334;24.516336;2.8055732;46.179108
261;0.4131756672044089;442;33.45223;22.862843;3.2219374;57.032677
262;0.33947068069433506;223;35.773792;24.70704;2.691618;44.987873
263;0.41367871354246927;223;34.595024;23.690727;2.995488;51.489822
264;0.3478008266282219;235;35.02874;23.989077;2.800362;48.469067
265;0.33480751300112305;227;35.137653;24.048319;2.7393692;48.174614
266;0.35230427712360607;208;35.42014;24.322676;2.629236;47.18079
267;0.4261778775457762;406;33.51854;22.965181;3.1586876;56.78594
268;0.37537173588677325;188;36.22151;24.907125;2.2989452;42.79046
269;0.3938468136538299;194;34.758595;23.775312;2.9541838;51.02126
270;0.5013475348536413;49;32.90275;24.188536;3.3644524;70.49028
271;0.37306024165198287;176;35.07794;24.036333;2.8330765;49.53131
272;0.4115569274400302;440;33.45223;22.862843;3.2219374;57.032677
273;0.3919006692629216;212;36.199913;24.81163;2.058989;42.42139
274;0.48929448571536055;203;35.19232;24.298426;2.848718;47.602394
275;0.362479072493575;168;35.615112;24.540268;2.5671167;46.4964
276;0.3360858970642895;230;36.102123;24.732351;2.381767;43.13319
277;0.38102951421484627;322;34.983727;24.296139;2.8965242;47.994934
278;0.4407201723121635;408;33.51854;22.965181;3.1586876;56.78594
279;0.432050801685314;395;33.51854;22.965181;3.1586876;56.78594
280;0.39367091965181267;204;35.86592;24.712362;2.701272;44.42599
281;0.3844933211631457;185;35.30291;24.25102;2.7391503;47.07847
282;0.5426362753655934;391;32.766563;22.467287;3.4411886;61.79631
283;0.4277796554957674;200;35.26292;24.30934;2.8290787;47.330757
284;0.35276470600059473;173;35.425835;24.334814;2.5689647;47.14945
285;0.443762495157274;396;33.51854;22.965181;3.1586876;56.78594
286;0.3946399899142671;188;35.424744;24.446999;2.7513587;46.535057
287;0.3946399899142671;188;35.424744;24.446999;2.7513587;46.535057
288;0.4030958295521894;255;35.733723;24.589077;2.6871204;44.306644
289;0.4229976508995162;414;33.51854;22.965181;3.1586876;56.78594
290;0.4497582585742851;202;35.19232;24.298426;2.848718;47.602394
291;0.41820270491483225;464;33.500954;22.948261;3.1916568;56.464012
292;0.3270981109032167;200;34.484123;23.665401;2.93258;52.167717
293;0.3783512008482058;218;35.91051;24.721783;2.6978407;44.259724
294;0.29190939444198544;148;35.207054;24.301052;2.619781;49.226036
295;0.3676906447153261;251;35.849823;24.627403;2.4599059;43.61211
296;0.374823407589231;232;36.225567;24.884062;2.131362;42.523
297;0.31633509406267996;166;35.249416;24.334696;2.6209693;48.95207
298;0.41820270491483225;464;33.500954;22.948261;3.1916568;56.464012
299;0.3147918229449039;163;36.462585;25.039654;2.4730124;42.716854
300;0.33152176869194305;209;36.0084;24.73797;2.5211613;43.637695
301;0.35218507033327173;235;35.919823;24.6241;2.491498;43.79261
302;0.44456137980581595;341;33.73906;22.97549;3.2681632;57.682873
303;0.4139054409318659;441;33.53064;22.959974;3.1576488;56.649536
304;0.40384982808105846;434;33.49905;22.892172;3.233941;57.025562
305;0.6070642897365335;388;32.856556;22.556913;3.4173136;61.29411
306;0.3704168202338725;199;35.26292;24.30934;2.8290787;47.330757
307;0.37425164445746806;181;35.12113;24.031422;2.7507331;48.60782
308;0.335206444110711;167;35.425835;24.334814;2.5689647;47.14945
309;0.43796088739499045;273;35.73687;24.71559;2.778589;45.22945
310;0.412715267872414;182;35.0213;23.98207;2.8643076;49.58852
311;0.31115089327381723;190;35.425835;24.334814;2.5689647;47.14945
312;0.3958527254773331;295;35.323605;24.427773;2.824732;46.5585
313;0.33893121214677363;184;36.21781;24.941282;2.5489237;43.11184
314;0.5149746829171975;150;32.917572;23.65262;3.4416156;69.4367
315;0.5459067944301617;254;32.9915;23.290756;3.3483868;67.16885
316;0.3540519766115317;233;36.188717;24.687363;2.0984385;42.305847
317;0.4222467234751799;408;33.51854;22.965181;3.1586876;56.78594
318;0.5530654053696084;118;32.500496;24.822298;3.4679658;73.04586
319;0.36398709852813393;226;35.95605;24.712124;2.3708053;42.966484
320;0.380481621345162;180;35.24535;24.146997;2.6913028;48.14747
321;0.566509575307005;35;32.99003;24.172018;3.4743605;70.06647
322;0.3388437788473545;196;36.167812;24.829313;2.2786798;42.900654
323;0.34340249164299746;226;35.250954;24.209812;2.764211;47.439312
324;0.566509575307005;35;32.99003;24.172018;3.4743605;70.06647
325;0.60811940954889;21;32.57646;24.83568;3.1284125;72.93071
326;0.3817749211729319;265;34.71212;23.834974;2.9949336;49.54992
327;0.3551190317882456;166;35.425835;24.334814;2.5689647;47.14945
328;0.31493782515537044;195;35.19072;24.09023;2.6771219;48.36832
329;0.3013630497746076;148;35.15458;24.25812;2.6484556;49.530266
330;0.3013630497746076;148;35.15458;24.25812;2.6484556;49.530266
331;0.3150186342749516;212;35.320248;24.224113;2.6568608;47.576298
332;0.3299355359451007;156;35.34673;24.401709;2.6179507;48.30374
333;0.3367623342606091;174;35.435787;24.359152;2.6914535;46.94767
334;0.4243928962281774;443;33.4781;22.934126;3.15169;56.6452
335;0.32130425679330615;261;35.466496;24.577942;2.8934937;46.263977
336;0.32426180458958903;183;35.46956;24.380972;2.6674476;46.962906
337;0.4407201723121635;408;33.51854;22.965181;3.1586876;56.78594
338;0.3263548349729417;181;35.42014;24.322676;2.629236;47.18079
339;0.4814014486495771;127;32.505665;23.881266;3.1817992;71.99938
340;0.4814014486495771;127;32.505665;23.881266;3.1817992;71.99938
341;0.4814014486495771;127;32.505665;23.881266;3.1817992;71.99938
342;0.4814014486495771;127;32.505665;23.881266;3.1817992;71.99938
343;0.37752329588487155;243;35.79521;24.635374;2.7142751;44.6877
344;0.38527981556772495;296;35.580418;24.540161;2.6274219;44.57341
345;0.34433534509923075;197;35.06217;24.035645;2.842119;49.86175
346;0.34433534509923075;197;35.06217;24.035645;2.842119;49.86175
347;0.37581759760698374;167;35.563595;24.471148;2.584124;46.745373
348;0.3245763769106689;212;35.29548;24.21478;2.7091238;47.537086
349;0.35669968363298143;176;35.511925;24.452578;2.6764743;46.490086
350;0.34761823618701954;196;35.339657;24.364632;2.7897592;46.952095
351;0.4470804181278862;414;33.40447;22.867298;3.1943111;57.25153
352;0.3527835855671517;221;36.11912;24.78657;2.1864135;42.8331
353;0.39045717056679025;232;35.45017;24.694403;3.0001023;46.351807
